date,open,high,low,close,volume
1987-12-30,1.8334,1.9019,1.8204,1.8334,271674
1987-12-31,1.8617,1.8617,1.8204,1.8334,100500
1988-01-04,1.8617,1.9149,1.8475,1.9149,104076
1988-01-05,1.9562,1.9693,1.9421,1.9562,234474
1988-01-06,1.9562,1.9693,1.9562,1.9562,46350
1988-01-07,1.9290,1.9693,1.9290,1.9693,99498
1988-01-08,1.9562,1.9562,1.8475,1.8475,127848
1988-01-11,1.9019,1.9290,1.9019,1.9290,238050
1988-01-12,1.9149,1.9149,1.8747,1.8888,65700
1988-01-13,1.8888,1.8888,1.8475,1.8475,70128
1988-01-14,1.8475,1.8475,1.8475,1.8475,2526
1988-01-15,1.9019,1.9290,1.9019,1.9290,29202
1988-01-18,1.9290,1.9290,1.9149,1.9290,9678
1988-01-19,1.9019,1.9149,1.9019,1.9019,37674
1988-01-20,1.9019,1.9019,1.8617,1.8617,32424
1988-01-21,1.8334,1.8475,1.8204,1.8475,85050
1988-01-22,1.8475,1.8475,1.8475,1.8475,32598
1988-01-25,1.8747,1.8888,1.8747,1.8747,24276
1988-01-26,1.8475,1.8475,1.8475,1.8475,8976
1988-01-27,1.8334,1.8334,1.8204,1.8204,20874
1988-01-28,1.8204,1.8334,1.7932,1.8334,12552
1988-01-29,1.8475,1.8475,1.8062,1.8062,2874
1988-02-01,1.8334,1.8475,1.8334,1.8334,10350
1988-02-02,1.8617,1.8617,1.8475,1.8617,49578
1988-02-03,1.8617,1.8888,1.8334,1.8334,279150
1988-02-04,1.8204,1.8204,1.7932,1.8204,91350
1988-02-05,1.7932,1.8062,1.7932,1.7932,10350
1988-02-08,1.7117,1.7258,1.6845,1.6845,55674
1988-02-09,1.6845,1.6845,1.6171,1.6432,278124
1988-02-10,1.6573,1.6573,1.6302,1.6573,102552
1988-02-11,1.6704,1.6976,1.6704,1.6845,188628
1988-02-12,1.6704,1.6976,1.6704,1.6976,99498
1988-02-16,1.7258,1.7530,1.7258,1.7530,108648
1988-02-17,1.8062,1.8475,1.8062,1.8204,305976
1988-02-18,1.8062,1.8475,1.8062,1.8334,136500
1988-02-19,1.8334,1.8617,1.8334,1.8617,42102
1988-02-22,1.8888,1.9421,1.8888,1.9421,179802
1988-02-23,1.9290,1.9290,1.8888,1.9019,52974
1988-02-24,1.8334,1.8617,1.8204,1.8475,333978
1988-02-25,1.8204,1.8334,1.7932,1.7932,404274
1988-02-26,1.8204,1.8204,1.7932,1.8204,24774
1988-02-29,1.7932,1.8204,1.7791,1.8204,40578
1988-03-01,1.8475,1.8475,1.8204,1.8204,49752
1988-03-02,1.8475,1.8747,1.8475,1.8747,39048
1988-03-03,1.8747,1.8747,1.8334,1.8475,219378
1988-03-04,1.8617,1.8888,1.8617,1.8747,226152
1988-03-07,1.9421,1.9975,1.9290,1.9693,139578
1988-03-08,1.9421,1.9562,1.9149,1.9562,357924
1988-03-09,1.9975,2.0247,1.9834,1.9975,182352
1988-03-10,1.9975,2.0106,1.9693,1.9693,352326
1988-03-11,1.9562,1.9834,1.9562,1.9834,16974
1988-03-14,1.9693,1.9834,1.9693,1.9834,262152
1988-03-15,1.9834,1.9834,1.9834,1.9834,40578
1988-03-16,1.9834,1.9975,1.9693,1.9975,124626
1988-03-17,2.0106,2.0106,1.9975,2.0106,71652
1988-03-18,2.0377,2.1464,2.0377,2.1334,144648
1988-03-21,2.1192,2.1192,2.0779,2.0779,51276
1988-03-22,2.1051,2.2279,2.0921,2.1605,646248
1988-03-23,2.2007,2.3366,2.1866,2.2822,1731948
